skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
Участие в обзорах заработных плат,6078,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
НВС,6079,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Ignite,6080,,,,0.00019411821799475881,4,Big Data,0.0,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0002518257365902795
Мобильные игры,6081,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
SketchUp,6082,,,,0.0002911773269921382,2,Инженер данных,4.6805523051720103e-05,0.0,0.0001099928504647198,0.0,0.0
aCRM,6083,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Weborama,6084,,,,0.00019411821799475881,0,Data scientist,9.361104610344021e-05,6.198090987975704e-05,0.0,0.0,0.0
Выполнение поручения руководителя проектами,6085,,,,9.705910899737941e-05,3,ML инженер,4.6805523051720103e-05,0.0,0.0,6.75949709341625e-05,0.0
Моделирование,6086,,,,0.002426477724934485,4,Big Data,0.00042124970746548095,0.00043386636915829924,0.00032997855139415937,0.00027037988373665,0.0017627801561319568
Гугл таблицы,6087,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
анализ воды,6088,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
publisher manager,6089,,,,9.705910899737941e-05,4,Big Data,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0002518257365902795
Gulp,6090,,,,0.00019411821799475881,1,Аналитик,0.0,6.198090987975704e-05,0.0,0.0,0.0
Локализация продукта,6091,,,,0.0002911773269921382,0,Data scientist,9.361104610344021e-05,3.099045493987852e-05,0.0,6.75949709341625e-05,0.0
Product Research,6092,,,,9.705910899737941e-05,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
Capacitor,6093,,,,9.705910899737941e-05,4,Big Data,4.6805523051720103e-05,0.0,0.0,0.0,0.0002518257365902795
Microchip,6094,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Взаимодействие с разрешительными органами,6095,,,,0.0007764728719790353,2,Инженер данных,4.6805523051720103e-05,3.099045493987852e-05,0.00032997855139415937,0.0,0.0
Навыки аргументации,6096,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
учет товара,6097,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
взаимодействие с контрагентами,6098,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
